,count
cell_776,0.0
cell_777,0.0
cell_778,5.0
cell_779,0.0
cell_780,2.0
cell_781,0.0
cell_782,3.0
cell_783,1.0
cell_784,0.0
cell_785,0.0
cell_786,0.0
cell_787,0.0
cell_788,0.0
cell_789,0.0
cell_790,1.0
cell_791,0.0
cell_792,0.0
cell_793,1.0
cell_794,0.0
cell_795,0.0
cell_796,0.0
cell_797,0.0
cell_798,0.0
cell_799,0.0
cell_800,0.0
cell_801,0.0
cell_802,2.0
cell_803,0.0
cell_804,0.0
cell_805,0.0
cell_806,0.0
cell_807,0.0
cell_808,0.0
cell_809,0.0
cell_810,3.0
cell_811,0.0
cell_812,0.0
cell_813,4.0
cell_814,0.0
cell_815,0.0
cell_816,0.0
cell_817,0.0
cell_818,0.0
cell_819,0.0
cell_820,0.0
cell_821,0.0
cell_822,0.0
cell_823,0.0
cell_824,4.0
cell_825,0.0
cell_826,1.0
cell_827,0.0
cell_828,0.0
cell_829,7.0
cell_830,0.0
cell_831,0.0
cell_832,0.0
cell_833,4.0
cell_834,0.0
cell_835,1.0
cell_836,0.0
cell_837,0.0
cell_838,0.0
cell_839,0.0
cell_840,2.0
cell_841,0.0
cell_842,3.0
cell_843,5.0
cell_844,0.0
cell_845,0.0
cell_846,0.0
cell_847,0.0
cell_848,3.0
cell_849,1.0
cell_850,1.0
cell_851,0.0
cell_852,0.0
cell_853,0.0
cell_854,0.0
cell_855,3.0
cell_856,0.0
cell_857,0.0
cell_858,0.0
cell_859,0.0
cell_860,0.0
cell_861,0.0
cell_862,4.0
cell_863,0.0
cell_864,0.0
cell_865,0.0
cell_866,0.0
cell_867,0.0
cell_868,0.0
cell_869,4.0
cell_870,0.0
cell_871,2.0
cell_872,0.0
cell_873,0.0
cell_874,0.0
cell_875,0.0
cell_876,0.0
cell_877,3.0
cell_878,0.0
cell_879,0.0
cell_880,0.0
cell_881,0.0
cell_882,0.0
cell_883,0.0
cell_884,0.0
cell_885,0.0
cell_886,0.0
cell_887,0.0
cell_888,3.0
cell_889,0.0
cell_890,0.0
cell_891,3.0
cell_892,3.0
cell_893,0.0
cell_894,0.0
cell_895,0.0
cell_896,0.0
cell_897,0.0
cell_898,0.0
cell_899,0.0
cell_900,0.0
cell_901,2.0
cell_902,0.0
cell_903,0.0
cell_904,0.0
cell_905,4.0
cell_906,0.0
cell_907,0.0
cell_908,0.0
cell_909,0.0
cell_910,0.0
cell_911,0.0
cell_912,1.0
cell_913,0.0
cell_914,2.0
cell_915,0.0
cell_916,0.0
cell_917,0.0
cell_918,0.0
cell_919,0.0
cell_920,1.0
cell_921,3.0
cell_922,3.0
cell_923,0.0
cell_924,4.0
cell_925,0.0
cell_926,0.0
cell_927,1.0
cell_928,0.0
cell_929,1.0
cell_930,0.0
cell_931,0.0
cell_932,0.0
cell_933,0.0
cell_934,2.0
cell_935,0.0
cell_936,5.0
cell_937,0.0
cell_938,1.0
cell_939,0.0
cell_940,3.0
cell_941,1.0
cell_942,1.0
cell_943,0.0
cell_944,0.0
cell_945,0.0
cell_946,0.0
cell_947,0.0
cell_948,0.0
cell_949,2.0
cell_950,0.0
cell_951,0.0
cell_952,0.0
cell_953,1.0
cell_954,0.0
cell_955,0.0
cell_956,2.0
cell_957,0.0
cell_958,0.0
cell_959,0.0
cell_960,0.0
cell_961,0.0
cell_962,0.0
cell_963,0.0
cell_964,0.0
cell_965,1.0
cell_966,1.0
cell_967,0.0
cell_968,0.0
cell_969,0.0
cell_970,0.0
cell_971,0.0
cell_972,0.0
cell_973,0.0
cell_974,0.0
cell_975,0.0
cell_976,4.0
cell_977,3.0
cell_978,0.0
cell_979,2.0
cell_980,3.0
cell_981,0.0
cell_982,2.0
cell_983,0.0
cell_984,0.0
cell_985,0.0
cell_986,0.0
cell_987,6.0
cell_988,3.0
cell_989,0.0
cell_990,1.0
cell_991,0.0
cell_992,0.0
cell_993,6.0
cell_994,4.0
cell_995,0.0
cell_996,2.0
cell_997,0.0
cell_998,0.0
cell_999,5.0
cell_1000,1.0
cell_1001,0.0
cell_1002,0.0
cell_1003,0.0
cell_1004,0.0
cell_1005,8.0
cell_1006,0.0
cell_1007,2.0
cell_1008,0.0
cell_1009,0.0
cell_1010,0.0
cell_1011,1.0
cell_1012,0.0
cell_1013,1.0
cell_1014,6.0
cell_1015,0.0
cell_1016,1.0
cell_1017,0.0
cell_1018,0.0
cell_1019,0.0
cell_1020,0.0
cell_1021,0.0
cell_1022,0.0
cell_1023,0.0
cell_1024,0.0
cell_1025,1.0
cell_1026,3.0
cell_1027,3.0
cell_1028,5.0
cell_1029,0.0
cell_1030,0.0
cell_1031,0.0
cell_1032,0.0
cell_1033,0.0
cell_1034,0.0
cell_1035,1.0
cell_1036,0.0
cell_1037,2.0
cell_1038,0.0
cell_1039,0.0
cell_1040,3.0
cell_1041,0.0
cell_1042,0.0
cell_1043,0.0
cell_1044,3.0
cell_1045,0.0
cell_1046,1.0
cell_1047,0.0
cell_1048,0.0
cell_1049,5.0
cell_1050,0.0
cell_1051,0.0
cell_1052,0.0
cell_1053,1.0
cell_1054,0.0
cell_1055,0.0
cell_1056,1.0
cell_1057,0.0
cell_1058,3.0
cell_1059,3.0
cell_1060,0.0
cell_1061,4.0
cell_1062,0.0
cell_1063,0.0
cell_1064,0.0
cell_1065,0.0
cell_1066,3.0
cell_1067,0.0
cell_1068,6.0
cell_1069,0.0
cell_1070,0.0
cell_1071,0.0
cell_1072,0.0
cell_1073,3.0
cell_1074,2.0
cell_1075,3.0
cell_1076,5.0
cell_1077,0.0
cell_1078,0.0
cell_1079,0.0
cell_1080,0.0
cell_1081,0.0
cell_1082,0.0
cell_1083,5.0
cell_1084,0.0
cell_1085,0.0
cell_1086,1.0
cell_1087,0.0
cell_1088,1.0
cell_1089,0.0
cell_1090,0.0
cell_1091,0.0
cell_1092,0.0
cell_1093,0.0
cell_1094,5.0
cell_1095,0.0
cell_1096,0.0
cell_1097,2.0
cell_1098,2.0
cell_1099,0.0
cell_1100,1.0
cell_1101,3.0
cell_1102,1.0
cell_1103,1.0
cell_1104,0.0
cell_1105,0.0
cell_1106,0.0
cell_1107,3.0
cell_1108,0.0
cell_1109,0.0
cell_1110,0.0
cell_1111,1.0
cell_1112,0.0
cell_1113,3.0
cell_1114,1.0
cell_1115,1.0
cell_1116,2.0
cell_1117,2.0
cell_1118,0.0
cell_1119,1.0
cell_1120,2.0
cell_1121,0.0
cell_1122,5.0
cell_1123,0.0
cell_1124,0.0
cell_1125,1.0
cell_1126,2.0
cell_1127,0.0
cell_1128,2.0
cell_1129,0.0
cell_1130,5.0
cell_1131,2.0
cell_1132,0.0
cell_1133,0.0
cell_1134,0.0
cell_1135,0.0
cell_1136,0.0
cell_1137,0.0
cell_1138,0.0
cell_1139,3.0
cell_1140,6.0
cell_1141,0.0
cell_1142,0.0
cell_1143,2.0
cell_1144,3.0
cell_1145,0.0
cell_1146,0.0
cell_1147,0.0
cell_1148,1.0
cell_1149,4.0
cell_1150,0.0
cell_1151,0.0
cell_1152,4.0
cell_1153,0.0
cell_1154,6.0
cell_1155,6.0
cell_1156,2.0
cell_1157,0.0
cell_1158,0.0
cell_1159,4.0
cell_1160,2.0
cell_1161,0.0
cell_1162,0.0
cell_1163,0.0
cell_1164,2.0
cell_1165,1.0
cell_1166,0.0
cell_1167,0.0
cell_1168,4.0
cell_1169,0.0
cell_1170,3.0
cell_1171,0.0
cell_1172,3.0
cell_1173,7.0
cell_1174,0.0
cell_1175,2.0
cell_1176,0.0
cell_1177,1.0
cell_1178,0.0
cell_1179,0.0
cell_1180,0.0
cell_1181,0.0
cell_1182,4.0
cell_1183,0.0
cell_1184,1.0
cell_1185,0.0
cell_1186,0.0
cell_1187,0.0
cell_1188,1.0
cell_1189,3.0
cell_1190,0.0
cell_1191,0.0
cell_1192,1.0
cell_1193,0.0
cell_1194,0.0
cell_1195,0.0
cell_1196,1.0
cell_1197,3.0
cell_1198,2.0
cell_1199,0.0
cell_1200,0.0
cell_1201,0.0
cell_1202,0.0
cell_1203,0.0
cell_1204,0.0
cell_1205,0.0
cell_1206,4.0
cell_1207,1.0
cell_1208,0.0
cell_1209,2.0
cell_1210,0.0
cell_1211,0.0
cell_1212,0.0
cell_1213,0.0
cell_1214,0.0
cell_1215,4.0
cell_1216,0.0
cell_1217,1.0
cell_1218,2.0
cell_1219,3.0
cell_1220,0.0
cell_1221,2.0
cell_1222,4.0
cell_1223,0.0
cell_1224,0.0
cell_1225,1.0
cell_1226,2.0
cell_1227,0.0
cell_1228,0.0
cell_1229,0.0
cell_1230,0.0
cell_1231,3.0
cell_1232,0.0
cell_1233,0.0
cell_1234,0.0
cell_1235,0.0
cell_1236,0.0
cell_1237,4.0
cell_1238,4.0
cell_1239,0.0
cell_1240,0.0
cell_1241,0.0
cell_1242,1.0
cell_1243,3.0
cell_1244,0.0
cell_1245,4.0
cell_1246,0.0
cell_1247,0.0
cell_1248,0.0
cell_1249,0.0
cell_1250,0.0
cell_1251,0.0
cell_1252,0.0
cell_1253,3.0
cell_1254,0.0
cell_1255,0.0
cell_1256,0.0
cell_1257,4.0
cell_1258,0.0
cell_1259,0.0
cell_1260,5.0
cell_1261,1.0
cell_1262,5.0
cell_1263,0.0
cell_1264,2.0
cell_1265,1.0
cell_1266,8.0
cell_1267,0.0
cell_1268,0.0
cell_1269,0.0
cell_1270,2.0
cell_1271,0.0
cell_1272,4.0
cell_1273,3.0
cell_1274,0.0
cell_1275,0.0
cell_1276,0.0
cell_1277,0.0
cell_1278,2.0
cell_1279,0.0
cell_1280,0.0
cell_1281,0.0
cell_1282,0.0
cell_1283,4.0
cell_1284,0.0
cell_1285,1.0
cell_1286,1.0
cell_1287,2.0
cell_1288,0.0
cell_1289,0.0
cell_1290,3.0
cell_1291,5.0
cell_1292,0.0
cell_1293,2.0
cell_1294,2.0
cell_1295,4.0
cell_1296,2.0
cell_1297,0.0
cell_1298,0.0
cell_1299,1.0
cell_1300,4.0
cell_1301,0.0
cell_1302,3.0
cell_1303,1.0
cell_1304,0.0
cell_1305,0.0
cell_1306,3.0
cell_1307,3.0
cell_1308,0.0
cell_1309,1.0
cell_1310,0.0
cell_1311,0.0
cell_1312,0.0
cell_1313,0.0
cell_1314,1.0
cell_1315,3.0
cell_1316,0.0
cell_1317,2.0
cell_1318,3.0
cell_1319,0.0
cell_1320,0.0
cell_1321,2.0
cell_1322,0.0
cell_1323,0.0
cell_1324,2.0
cell_1325,0.0
cell_1326,0.0
cell_1327,0.0
cell_1328,0.0
cell_1329,0.0
cell_1330,0.0
cell_1331,0.0
cell_1332,2.0
cell_1333,0.0
cell_1334,0.0
cell_1335,2.0
cell_1336,3.0
cell_1337,0.0
cell_1338,0.0
cell_1339,0.0
cell_1340,2.0
cell_1341,4.0
cell_1342,4.0
cell_1343,0.0
cell_1344,0.0
cell_1345,0.0
cell_1346,1.0
cell_1347,0.0
cell_1348,5.0
cell_1349,0.0
cell_1350,1.0
cell_1351,2.0
cell_1352,2.0
cell_1353,0.0
cell_1354,0.0
cell_1355,0.0
cell_1356,0.0
cell_1357,0.0
cell_1358,3.0
cell_1359,5.0
cell_1360,2.0
cell_1361,1.0
cell_1362,0.0
cell_1363,0.0
cell_1364,0.0
cell_1365,3.0
cell_1366,1.0
cell_1367,3.0
cell_1368,0.0
cell_1369,3.0
cell_1370,3.0
cell_1371,0.0
cell_1372,0.0
cell_1373,6.0
cell_1374,1.0
cell_1375,0.0
cell_1376,0.0
cell_1377,0.0
cell_1378,1.0
cell_1379,0.0
cell_1380,5.0
cell_1381,2.0
cell_1382,0.0
cell_1383,0.0
cell_1384,0.0
cell_1385,3.0
cell_1386,0.0
cell_1387,3.0
cell_1388,1.0
cell_1389,5.0
cell_1390,6.0
cell_1391,3.0
cell_1392,8.0
cell_1393,3.0
cell_1394,0.0
cell_1395,0.0
cell_1396,0.0
cell_1397,1.0
cell_1398,0.0
cell_1399,4.0
cell_1400,0.0
cell_1401,4.0
cell_1402,2.0
cell_1403,1.0
cell_1404,0.0
cell_1405,7.0
cell_1406,0.0
cell_1407,5.0
cell_1408,2.0
cell_1409,4.0
cell_1410,1.0
cell_1411,0.0
cell_1412,2.0
cell_1413,0.0
cell_1414,0.0
cell_1415,0.0
cell_1416,0.0
cell_1417,0.0
cell_1418,1.0
cell_1419,3.0
cell_1420,2.0
cell_1421,2.0
cell_1422,5.0
cell_1423,2.0
cell_1424,1.0
cell_1425,0.0
cell_1426,4.0
cell_1427,0.0
cell_1428,6.0
cell_1429,0.0
cell_1430,0.0
cell_1431,0.0
cell_1432,7.0
cell_1433,5.0
cell_1434,0.0
cell_1435,0.0
cell_1436,5.0
cell_1437,0.0
cell_1438,0.0
cell_1439,1.0
cell_1440,0.0
cell_1441,0.0
cell_1442,9.0
cell_1443,2.0
cell_1444,6.0
cell_1445,11.0
cell_1446,5.0
cell_1447,2.0
cell_1448,1.0
cell_1449,13.0
cell_1450,0.0
cell_1451,0.0
cell_1452,1.0
cell_1453,1.0
cell_1454,16.0
cell_1455,2.0
cell_1456,0.0
cell_1457,0.0
cell_1458,0.0
cell_1459,2.0
cell_1460,5.0
cell_1461,12.0
cell_1462,20.0
cell_1463,0.0
cell_1464,0.0
cell_1465,1.0
cell_1466,0.0
cell_1467,0.0
cell_1468,0.0
cell_1469,0.0
cell_1470,11.0
cell_1471,4.0
cell_1472,0.0
cell_1473,0.0
cell_1474,0.0
cell_1475,0.0
cell_1476,0.0
cell_1477,2.0
cell_1478,0.0
cell_1479,0.0
cell_1480,5.0
cell_1481,15.0
cell_1482,6.0
cell_1483,0.0
cell_1484,3.0
cell_1485,12.0
cell_1486,0.0
cell_1487,0.0
cell_1488,0.0
cell_1489,11.0
cell_1490,4.0
cell_1491,0.0
cell_1492,0.0
cell_1493,0.0
cell_1494,3.0
cell_1495,0.0
cell_1496,6.0
cell_1497,2.0
