,sc_id,spot,exp_cor_before,interface_cor_before,mix_cor_before,exp_cor_after,interface_cor_after,mix_cor_after,celltype
1001,cell_647,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,ExcitatoryL6
1002,cell_1117,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,ExcitatoryL6
1003,cell_925,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,ExcitatoryL6
1004,cell_834,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,Pvalb
1005,cell_574,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,Micro
1006,cell_264,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,Olig
1007,cell_133,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,Olig
1008,cell_1344,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,Other
1009,cell_1498,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,ExcitatoryL5
1010,cell_888,spot_104,0.9844765334570466,0.842978566320916,0.9703267367434336,0.9787186393052459,0.8803784543401033,0.9145053055337048,ExcitatoryL5
1011,cell_674,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,Pvalb
1012,cell_905,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1013,cell_348,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1014,cell_595,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1015,cell_826,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1016,cell_939,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1017,cell_496,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1018,cell_872,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1019,cell_868,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1020,cell_809,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1021,cell_1274,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,ExcitatoryL4
1022,cell_820,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,Endo
1023,cell_1190,spot_105,0.9833646357822062,0.8806908956418602,0.9730972617681717,0.987374644403591,0.910630380565458,0.924713869917523,Sst
1024,cell_835,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,Pvalb
1025,cell_993,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1026,cell_477,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1027,cell_573,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1028,cell_508,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1029,cell_513,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1030,cell_940,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1031,cell_1028,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,ExcitatoryL4
1032,cell_901,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,Endo
1033,cell_1436,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,Endo
1034,cell_947,spot_106,0.9790406447470579,0.7906068963025281,0.9601972699026049,0.9828600165844438,0.8262725323697867,0.9129164322121932,Other
1035,cell_793,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,Npy
1036,cell_800,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1037,cell_542,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1038,cell_842,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1039,cell_1094,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1040,cell_1188,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1041,cell_795,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1042,cell_847,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL4
1043,cell_72,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,Endo
1044,cell_1051,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL2and3
1045,cell_945,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,Sst
1046,cell_414,spot_107,0.9705558429909165,0.7830087699214814,0.951801135683973,0.9874583458414152,0.8505327411824045,0.919112511384263,ExcitatoryL5
1047,cell_433,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,Vip
1048,cell_946,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1049,cell_1086,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1050,cell_920,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1051,cell_138,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1052,cell_904,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1053,cell_850,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1054,cell_804,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
1055,cell_616,spot_108,0.9826008234567736,0.6124516141965247,0.9455859025307487,0.9877723599586762,0.850812508441617,0.9194056687704047,ExcitatoryL2and3
