,sc_id,spot,corr,celltype
216,cell_351,spot_21,0.8683480969505812,ExcitatoryL6
217,cell_324,spot_22,0.97957908469602,Astro
218,cell_1182,spot_22,0.97957908469602,Olig
219,cell_449,spot_22,0.97957908469602,Olig
220,cell_303,spot_22,0.97957908469602,Olig
221,cell_1173,spot_22,0.97957908469602,Olig
222,cell_1405,spot_23,0.9741086480609449,Astro
223,cell_1489,spot_23,0.9741086480609449,Olig
224,cell_1462,spot_23,0.9741086480609449,ExcitatoryL6
225,cell_1454,spot_23,0.9741086480609449,ExcitatoryL6
226,cell_1461,spot_23,0.9741086480609449,ExcitatoryL6
227,cell_1130,spot_23,0.9741086480609449,ExcitatoryL6
228,cell_1401,spot_23,0.9741086480609449,ExcitatoryL6
229,cell_713,spot_23,0.9741086480609449,ExcitatoryL6
230,cell_1426,spot_23,0.9741086480609449,ExcitatoryL6
231,cell_843,spot_23,0.9741086480609449,ExcitatoryL6
232,cell_93,spot_23,0.9741086480609449,ExcitatoryL6
233,cell_701,spot_23,0.9741086480609449,ExcitatoryL6
234,cell_751,spot_24,0.9612838880954181,Astro
235,cell_1503,spot_24,0.9612838880954181,Astro
236,cell_1485,spot_24,0.9612838880954181,Sst
237,cell_603,spot_24,0.9612838880954181,Other
238,cell_1306,spot_24,0.9612838880954181,Vip
239,cell_1462,spot_24,0.9612838880954181,ExcitatoryL6
240,cell_1454,spot_24,0.9612838880954181,ExcitatoryL6
241,cell_1461,spot_24,0.9612838880954181,ExcitatoryL6
242,cell_564,spot_24,0.9612838880954181,ExcitatoryL6
243,cell_131,spot_24,0.9612838880954181,ExcitatoryL6
244,cell_1496,spot_24,0.9612838880954181,ExcitatoryL6
245,cell_1462,spot_25,0.9673094653697475,ExcitatoryL6
246,cell_1454,spot_25,0.9673094653697475,ExcitatoryL6
247,cell_1461,spot_25,0.9673094653697475,ExcitatoryL6
248,cell_664,spot_25,0.9673094653697475,ExcitatoryL6
249,cell_29,spot_25,0.9673094653697475,ExcitatoryL6
250,cell_1237,spot_25,0.9673094653697475,ExcitatoryL6
251,cell_507,spot_25,0.9673094653697475,ExcitatoryL6
252,cell_184,spot_25,0.9673094653697475,ExcitatoryL6
253,cell_349,spot_25,0.9673094653697475,ExcitatoryL6
254,cell_1399,spot_25,0.9673094653697475,ExcitatoryL6
255,cell_1238,spot_25,0.9673094653697475,ExcitatoryL6
256,cell_1482,spot_25,0.9673094653697475,ExcitatoryL6
