	adj_spex_UMAP1	adj_spex_UMAP2
247	2625.0	375.0
248	2571.5124879118102	171.75058029194466
249	2625.0	375.0
250	2673.6909865604716	361.02743977732115
251	2625.0	375.0
252	2462.378134040224	265.5373922864329
253	6755.409586840604	13061.534052432293
254	7244.370755040575	12920.180671751816
255	7125.0	13125.0
256	3337.4461175109254	9921.136909110903
257	3193.656974928422	10268.542517356214
258	3313.317765215248	9964.54786423865
259	3375.0	10125.0
260	3375.0	10125.0
261	3362.1945350242663	10383.814189639765
262	3002.179459429495	10165.371333006435
263	3582.821997174765	9974.374533942606
264	3592.960665607941	10088.470466233566
265	5625.0	1875.0
266	5769.9348384688765	1668.888178597656
267	5336.18880560016	2014.1430866420487
268	5625.0	1875.0
269	5625.0	1875.0
270	5786.077755654595	1536.3571842881079
271	5595.236529516411	1840.5707715668682
272	5292.0183292930315	1983.3327769284638
273	5578.42570984927	1733.2280727423051
274	1889.0663621071988	7870.78009136784
275	1875.0	7875.0
276	1875.0	7875.0
277	1724.5455914217382	7824.79893066841
278	1829.8458000865526	7856.492135884981
279	1690.6771314257294	8000.380101147751
280	1875.0	7875.0
281	2119.0861737903774	7796.408216098775
282	1518.8940928152126	7757.468800448139
283	2048.7029792832154	7610.086725145954
284	5149.446828296798	1090.665695842867
285	4770.305554316173	1336.5875009399458
286	4637.271733720091	1415.0177087895643
287	4906.24453485453	1068.275936968865
288	4737.044541808048	943.0202441704779
289	4981.923184143064	1041.638324705455
290	4813.732069263156	1189.3521857338792
291	5004.035389636798	915.4426426013617
292	4875.0	7125.0
293	5183.443835141552	6911.722245503262
294	4630.572018463253	7124.495718383496
295	4854.6191637589545	7091.903907068725
296	4908.484361708361	7121.551424789548
297	4688.0892818858	7032.113945884723
298	5014.7621022146695	6991.643864813536
299	4814.227204236893	7253.42091157411
300	4906.961225397287	7092.130631085545
301	4827.824875790387	7189.647219178467
302	4681.984729936352	7287.281379423165
303	5019.511143931505	7099.503371775571
304	4875.0	7125.0
305	2625.0	10875.0
306	2625.0	10875.0
307	2625.0	10875.0
308	2625.0	10875.0
309	2625.0	10875.0
310	2625.0	10875.0
311	2625.0	10875.0
312	2625.0	10875.0
313	2347.57600780669	10622.688825940018
314	2625.0	10875.0
315	2625.0	10875.0
316	2625.0	10875.0
317	5509.80704851017	12306.493680796717
318	5258.588276228329	12295.203705081798
319	5585.560682190586	12282.125152250113
320	5625.0	12375.0
321	5625.0	12375.0
322	5559.634660690705	12492.491392323347
323	5625.0	12375.0
324	5696.760575648001	12340.614008737819
325	5534.765807505305	12234.384928803318
326	987.3636144742361	6776.171639083914
327	1125.0	7125.0
328	1054.8682886502345	6949.348599420352
329	1081.743002272952	7335.703713579235
330	1125.0	7125.0
331	1125.0	7125.0
332	1084.9780088340756	7135.8268852314795
333	1125.0	7125.0
334	7069.019743533623	7861.786795321722
335	7049.700309807832	7892.7454561498735
336	6941.633915378945	8021.26755737767
337	7030.293921392869	7888.260659885852
338	7384.520945568534	7604.308517290969
339	7125.0	7875.0
340	6933.494788983446	7825.362132025887
341	7398.7572286924515	7784.563773481409
342	7003.816986197661	7851.594812476229
343	7125.0	7875.0
344	7125.0	7875.0
345	3375.0	7875.0
346	3375.0	7875.0
347	3375.0	7875.0
348	3411.0175826550167	7861.005128896881
349	3405.628214682223	7864.517477795233
350	3000.61739912343	7853.490277526314
351	3400.332402097227	7871.475423579815
352	3375.0	7875.0
353	3375.0	7875.0
354	3375.0	7875.0
355	3417.9514242961177	7868.757053830927
356	3375.0	7875.0
357	1985.1072164471482	11613.12931970636
358	1575.3709696709936	11399.50622140711
359	1875.0	11625.0
360	1958.6011695721086	11605.071906948066
361	1695.174985386938	11622.133316884623
362	1771.4458272596423	11784.39512157445
363	1875.0	11625.0
364	1805.780425199334	11543.79302081337
365	1875.0	11625.0
366	1875.0	11625.0
367	1908.1490110523791	11565.594085313629
368	1995.7376085845392	11471.05952065213
369	9.258567894380974	13042.185720788437
370	375.0	13125.0
371	375.0	13125.0
372	339.5390589600503	13094.306344025026
373	375.0	13125.0
374	406.4617969440316	13035.021576423442
375	375.0	13125.0
376	375.0	13125.0
377	375.0	13125.0
378	462.1012854419696	13119.569063573445
379	3907.9364872788974	10386.168548717837
380	3997.7657211630626	10122.337428134642
381	4105.615655735176	9990.568534937322
382	4088.715145872526	10154.280769129493
383	4125.0	10125.0
384	4125.0	10125.0
385	3935.459053276607	10130.657756286402
386	4125.0	10125.0
387	4119.987359554563	10306.321478314885
388	4101.879092134579	10120.087696979102
389	4188.398940776608	9755.39808670895
390	4130.39200052583	10113.203118502386
391	4318.023141111335	10071.368314670628
392	3375.0	8625.0
393	3156.6068628365138	8686.791958869462
394	3375.0	8625.0
395	3258.557991875359	8811.669682358353
396	3517.9859102649966	8325.915916629205
397	3578.1471135799243	8309.791735127163
398	3178.9741664544877	8786.238758786374
399	3290.583504479598	8722.645659313808
400	3357.123832325906	8473.725582977739
401	3509.652069369248	8428.163245685217
402	3263.094716643893	8881.992609220115
403	1875.1739721819279	4027.2516630633772
404	1875.0	4125.0
405	1619.5223314249151	4109.900944718749
406	1750.143721367717	4254.377152431721
407	1875.0	4125.0
408	1812.389237951448	4019.755480484061
409	1971.3296466574752	4053.2432031606436
410	2102.075027823861	3826.567542417396
411	1875.0	4125.0
412	1682.4646979086338	4291.711486556235
413	4875.0	2625.0
414	4875.0	2625.0
415	4875.0	2625.0
416	4504.915859487324	2564.479516351948
417	4789.489297768041	2468.3012322408167
418	4875.0	2625.0
419	4695.967726865014	2571.278524463474
420	4947.600280084446	2429.0702464502015
421	4791.803036747401	2737.403255282536
422	4682.434164015617	2704.0298469435784
423	1897.519643993402	10025.985794090953
424	1818.23802260558	9996.488169555256
425	1923.1696831758697	10103.806013357913
426	1962.4244001400032	9949.799598513626
427	1717.996709412103	10072.159361557253
428	1875.0	10125.0
429	1661.9392060441853	10039.585703320996
430	1875.0	10125.0
431	1815.6363008398328	10066.624026832767
432	1943.98600052938	10117.581405287698
433	1869.3038061340837	10196.305741942462
434	4945.105406717005	10870.019991144749
435	4924.528506638705	10868.676211525873
436	4875.0	10875.0
437	4875.0	10875.0
438	4875.0	10875.0
439	4876.307503591434	10867.659750319492
440	4875.0	10875.0
441	4517.896263023784	10760.536376793229
442	4875.0	10875.0
443	4954.510826428612	10858.877004651546
444	1759.0800397282057	13518.366346497438
445	1786.5037379781375	13880.787406272815
446	2100.930570888685	13835.772739404274
447	1875.0	13875.0
448	1875.0	13875.0
449	1708.237036236157	13977.386908965747
450	2342.712586020085	8121.857886057002
451	2943.2465535773244	7840.389920986383
452	2554.0162263137463	7879.609290327957
453	2625.0	7875.0
454	2581.6276144016156	8075.28455560339
455	2899.8043435541927	7631.926685593753
456	2500.9061879207625	7719.143979312709
457	2409.100682945471	7758.1095215001715
458	2658.622436678673	7846.631082775724
459	2538.3373493530908	7923.026908100863
460	2635.93520755111	7805.728022588362
461	1640.1437733790076	7354.124756397078
462	1742.6419034257615	7114.34909016441
463	1937.0711570842311	6984.443480344237
464	1875.0	7125.0
465	1806.4292225936972	7152.693908623579
466	1944.2473088486847	6975.675092783102
467	1875.0	7125.0
468	1787.1459065702795	7336.282264286588
469	1788.871712723013	7157.950890651268
470	1854.4807965305204	6819.010084628257
471	1026.0741586679717	1911.7086202950097
472	987.2078162617635	1808.03914622255
473	952.8495718378806	2012.4230342756641
474	1425.3670985681708	1702.8483289103972
475	1090.0314781817633	1853.5532862737728
476	933.0559516645878	2129.1134166643196
477	1460.4201394552795	1707.3147888220285
478	2625.0	4875.0
479	2625.0	4875.0
480	2942.140777987502	4674.883216752113
481	2446.3088399296453	4832.1680815333175
482	2679.6570719953834	4827.846541399018
483	2614.6428874480043	4930.25799361601
484	2566.983389587547	4888.352935251317
485	2599.513104276048	4925.439638896236
486	2548.5142744272853	4884.943100397434
487	2575.816234578451	4843.03211188517
488	3014.0711236891243	10773.238778284807
489	3248.728737569248	10841.655090524848
490	3390.3628416557267	10776.515535884144
491	3387.6699286023854	10796.51752512917
492	3375.0	10875.0
493	3375.0	10875.0
494	3375.0	10875.0
495	3435.922650999408	10785.540846101027
496	3420.348500929515	10510.48595820378
497	3324.297095302301	11192.421436152197
498	3110.3193411673874	10878.408011475165
499	4875.0	12375.0
500	4661.831657699947	12164.22574627514
501	4870.604652789614	12499.090779864633
502	4755.18461927247	12094.463946853399
503	4883.057886660555	12303.371508687782
504	4827.759201012712	12364.215168860888
505	4792.013175823283	12288.16659104817
506	4785.724523243662	12570.915686146853
507	4875.0	12375.0
508	6346.570095820061	7501.0792322585985
509	6340.752471363358	7724.606119648345
510	6336.908932562434	7975.745754056184
511	6375.0	7875.0
512	6284.822413845249	8040.045275115054
513	6407.142652342572	7749.46202747323
514	6464.053639647868	7837.712726332978
515	6182.371263596733	8073.291118058867
516	6316.594587488486	7916.591991631662
517	6375.0	7875.0
518	4693.766090800703	4621.389107551346
519	4875.0	4875.0
520	4875.0	4875.0
521	5133.41805371525	4847.469834731844
